date,open,high,low,close,volume
2024-01-02 00:00:00,997.00,997.65,980.25,982.25,16263825.00
2024-01-03 00:00:00,984.70,988.00,975.10,984.05,16826752.00
2024-01-04 00:00:00,986.40,989.15,981.90,987.15,22789140.00
2024-01-05 00:00:00,988.00,998.30,983.80,993.70,14875499.00
2024-01-08 00:00:00,994.00,998.20,980.30,982.00,8393164.00
2024-01-09 00:00:00,986.25,995.00,975.40,979.75,14660414.00
2024-01-10 00:00:00,974.30,994.95,974.30,993.05,9409181.00
2024-01-11 00:00:00,995.30,998.50,986.85,991.15,6451345.00
2024-01-12 00:00:00,994.80,1008.70,991.75,1003.50,12255743.00
2024-01-15 00:00:00,1003.50,1011.65,999.25,1009.85,12388044.00
2024-01-16 00:00:00,1006.10,1015.80,1004.60,1009.05,11505126.00
2024-01-17 00:00:00,987.90,1007.80,976.75,981.75,41914771.00
2024-01-18 00:00:00,973.95,994.30,970.15,986.35,17902484.00
2024-01-19 00:00:00,991.30,1010.90,987.55,999.20,23271148.00
2024-01-20 00:00:00,1005.95,1014.70,995.30,1008.70,8788873.00
2024-01-23 00:00:00,1059.10,1059.40,1021.20,1029.05,50797448.00
2024-01-24 00:00:00,1029.45,1035.95,996.65,999.20,34578943.00
2024-01-25 00:00:00,998.40,1015.10,988.15,1009.95,28315035.00
2024-01-29 00:00:00,1020.00,1032.00,1010.00,1016.40,14078922.00
2024-01-30 00:00:00,1014.95,1023.85,1008.00,1016.90,16085742.00
2024-01-31 00:00:00,1016.80,1039.00,1003.25,1028.15,25627447.00
2024-02-01 00:00:00,1033.95,1033.95,1017.40,1025.15,13058880.00
2024-02-02 00:00:00,1037.10,1050.00,1021.65,1024.00,14774650.00
2024-02-05 00:00:00,1022.50,1026.45,1012.10,1023.50,12948430.00
2024-02-06 00:00:00,1023.55,1034.90,1016.70,1026.40,12886927.00
2024-02-07 00:00:00,1028.00,1031.55,1013.00,1022.15,16410895.00
2024-02-08 00:00:00,1024.10,1028.25,985.25,989.30,20565502.00
2024-02-09 00:00:00,988.85,1013.75,985.50,1010.70,12799837.00
2024-02-12 00:00:00,1010.40,1012.20,985.25,996.10,8050066.00
2024-02-13 00:00:00,1006.00,1027.05,1000.30,1019.80,18706292.00
2024-02-14 00:00:00,1009.55,1035.70,1007.55,1022.70,17878720.00
2024-02-15 00:00:00,1022.85,1026.65,1006.60,1016.65,10069878.00
2024-02-16 00:00:00,1023.20,1026.20,1016.90,1023.25,7159395.00
2024-02-19 00:00:00,1023.35,1046.00,1023.35,1043.75,9388255.00
2024-02-20 00:00:00,1041.05,1052.65,1033.25,1048.75,11293528.00
2024-02-21 00:00:00,1056.80,1064.00,1048.00,1051.95,15946325.00
2024-02-22 00:00:00,1056.00,1066.00,1040.30,1062.70,13432573.00
2024-02-23 00:00:00,1070.00,1070.00,1057.65,1061.30,13142759.00
2024-02-26 00:00:00,1053.10,1062.30,1050.50,1054.20,7875941.00
2024-02-27 00:00:00,1050.75,1066.20,1046.50,1060.20,10580973.00
2024-02-28 00:00:00,1063.00,1064.85,1042.15,1046.20,7730332.00
2024-02-29 00:00:00,1043.05,1060.70,1038.50,1052.20,20944844.00
2024-03-01 00:00:00,1055.00,1089.95,1054.00,1086.90,14909562.00
2024-03-02 00:00:00,1087.25,1089.45,1080.50,1084.65,481475.00
2024-03-04 00:00:00,1081.00,1095.00,1080.10,1092.35,11424581.00
2024-03-05 00:00:00,1086.20,1099.50,1076.50,1088.05,9222544.00
2024-03-06 00:00:00,1080.30,1113.55,1080.30,1097.10,21796484.00
