date,open,high,low,close,volume
2024-01-02 00:00:00,849.40,851.40,844.35,849.55,29242092.00
2024-01-03 00:00:00,851.00,852.35,834.48,836.45,28389762.00
2024-01-04 00:00:00,839.00,847.48,835.35,845.43,26734056.00
2024-01-05 00:00:00,843.58,852.45,834.05,841.10,31889470.00
2024-01-08 00:00:00,839.25,841.18,830.00,831.73,17998470.00
2024-01-09 00:00:00,833.58,838.90,823.38,825.25,25326888.00
2024-01-10 00:00:00,821.50,829.98,820.70,827.98,16115824.00
2024-01-11 00:00:00,830.00,831.45,821.50,824.50,18314010.00
2024-01-12 00:00:00,826.00,828.00,816.80,820.60,19773552.00
2024-01-15 00:00:00,823.85,840.45,821.80,836.40,28320356.00
2024-01-16 00:00:00,836.50,841.83,829.05,839.58,25322500.00
2024-01-17 00:00:00,785.00,798.40,764.20,768.75,170145236.00
2024-01-18 00:00:00,747.00,757.50,740.03,743.08,161070930.00
2024-01-19 00:00:00,752.98,755.13,734.20,735.33,109600538.00
2024-01-20 00:00:00,741.60,747.85,738.00,739.43,25840586.00
2024-01-23 00:00:00,732.50,737.35,712.50,713.68,115469402.00
2024-01-24 00:00:00,690.13,729.23,690.13,727.95,86004404.00
2024-01-25 00:00:00,726.25,728.68,709.70,717.45,98941852.00
2024-01-29 00:00:00,724.03,731.40,722.90,727.33,65645498.00
2024-01-30 00:00:00,727.28,731.60,720.45,722.15,41728768.00
2024-01-31 00:00:00,719.75,737.48,718.40,731.28,65761040.00
2024-02-01 00:00:00,732.53,736.80,728.03,733.18,32690740.00
2024-02-02 00:00:00,737.50,740.43,721.03,723.08,44867754.00
2024-02-05 00:00:00,723.00,725.95,717.03,722.43,38605046.00
2024-02-06 00:00:00,722.78,724.85,716.30,722.05,41075740.00
2024-02-07 00:00:00,726.50,726.90,713.33,714.98,54837086.00
2024-02-08 00:00:00,714.93,719.48,700.25,701.53,69106124.00
2024-02-09 00:00:00,696.08,707.10,693.50,701.80,56642124.00
2024-02-12 00:00:00,699.83,706.83,691.68,695.00,34447812.00
2024-02-13 00:00:00,695.98,702.18,692.18,697.23,57580994.00
2024-02-14 00:00:00,688.00,695.75,681.78,692.03,91320810.00
2024-02-15 00:00:00,692.50,707.75,692.18,707.03,41584944.00
2024-02-16 00:00:00,711.95,713.85,704.23,709.95,32175742.00
2024-02-19 00:00:00,714.50,714.50,707.60,708.55,34451756.00
2024-02-20 00:00:00,707.50,728.63,705.90,727.15,56133508.00
2024-02-21 00:00:00,732.00,732.00,717.50,719.58,45893136.00
2024-02-22 00:00:00,708.88,714.40,706.10,709.78,50560882.00
2024-02-23 00:00:00,711.28,716.95,709.00,710.30,29833452.00
2024-02-26 00:00:00,706.78,717.43,706.78,711.15,23506870.00
2024-02-27 00:00:00,706.78,713.35,706.53,710.08,32087150.00
2024-02-28 00:00:00,710.08,712.10,702.00,704.70,25321986.00
2024-02-29 00:00:00,701.05,705.20,698.65,701.70,53295700.00
2024-03-01 00:00:00,700.00,716.38,700.00,715.38,34738898.00
2024-03-02 00:00:00,717.28,718.00,714.05,715.38,1790530.00
2024-03-04 00:00:00,715.48,718.50,712.15,716.35,35616474.00
2024-03-05 00:00:00,711.00,721.50,710.83,720.43,37991672.00
2024-03-06 00:00:00,716.78,726.43,716.78,721.30,42409530.00
2024-03-07 00:00:00,722.75,725.53,720.70,723.05,49348046.00
2024-03-11 00:00:00,715.00,722.98,711.50,713.90,50531094.00
2024-03-12 00:00:00,717.00,732.00,714.63,729.78,65418454.00
2024-03-13 00:00:00,732.75,735.80,725.05,730.20,63067454.00
2024-03-14 00:00:00,731.05,733.00,722.15,727.73,52432158.00
2024-03-15 00:00:00,725.00,729.65,721.13,726.33,143613804.00
