date,open,high,low,close,volume
2024-01-02 00:00:00,3811.10,3811.10,3767.25,3783.20,1344068.00
2024-01-03 00:00:00,3767.00,3771.85,3687.05,3691.75,1803075.00
2024-01-04 00:00:00,3701.75,3719.00,3651.00,3666.80,3598144.00
2024-01-05 00:00:00,3675.00,3747.75,3674.85,3737.90,1963127.00
2024-01-08 00:00:00,3737.90,3739.75,3672.40,3678.30,1067805.00
2024-01-09 00:00:00,3709.95,3752.35,3682.75,3689.90,1370944.00
2024-01-10 00:00:00,3690.00,3729.25,3688.00,3713.05,1292227.00
2024-01-11 00:00:00,3724.00,3773.00,3707.00,3735.55,1777909.00
2024-01-12 00:00:00,3848.00,3905.25,3821.60,3882.80,6813450.00
2024-01-15 00:00:00,3960.00,3965.00,3885.00,3903.80,2801505.00
2024-01-16 00:00:00,3899.00,3899.00,3855.55,3861.30,1432672.00
2024-01-17 00:00:00,3819.00,3909.95,3812.55,3884.60,3458696.00
2024-01-18 00:00:00,3898.00,3908.80,3862.00,3902.60,2239110.00
2024-01-19 00:00:00,3945.00,3963.55,3915.05,3943.05,2941975.00
2024-01-20 00:00:00,3948.00,3955.65,3855.55,3860.65,516477.00
2024-01-23 00:00:00,3900.00,3933.90,3842.75,3858.25,2618854.00
2024-01-24 00:00:00,3880.00,3883.65,3805.60,3841.80,2657709.00
2024-01-25 00:00:00,3839.90,3861.00,3778.70,3810.30,2205154.00
2024-01-29 00:00:00,3800.80,3820.00,3780.85,3801.00,1646747.00
2024-01-30 00:00:00,3807.45,3847.80,3787.00,3800.55,1411621.00
2024-01-31 00:00:00,3811.20,3834.00,3796.45,3815.95,2459358.00
2024-02-01 00:00:00,3820.00,3904.90,3805.05,3854.15,2363107.00
2024-02-02 00:00:00,3875.05,3984.40,3872.00,3966.30,2826510.00
2024-02-05 00:00:00,3983.00,4022.00,3962.10,3973.30,1691523.00
2024-02-06 00:00:00,3997.00,4149.90,3990.00,4136.00,4474396.00
2024-02-07 00:00:00,4153.00,4155.00,4073.95,4083.40,2124267.00
2024-02-08 00:00:00,4090.00,4158.00,4086.05,4134.10,2345173.00
2024-02-09 00:00:00,4136.55,4184.75,4100.00,4133.70,2100596.00
2024-02-12 00:00:00,4130.00,4159.60,4105.55,4120.70,1013716.00
2024-02-13 00:00:00,4125.45,4170.00,4081.50,4149.50,1257415.00
2024-02-14 00:00:00,4107.00,4114.90,4049.50,4100.10,1391283.00
2024-02-15 00:00:00,4128.00,4146.30,4083.00,4103.20,1091582.00
2024-02-16 00:00:00,4113.25,4147.95,4100.10,4128.30,1307556.00
2024-02-19 00:00:00,4123.05,4128.30,4055.00,4103.80,772291.00
2024-02-20 00:00:00,4082.10,4098.00,4010.00,4030.65,1193648.00
2024-02-21 00:00:00,4013.00,4063.35,3980.60,3991.50,1885939.00
2024-02-22 00:00:00,3971.00,4094.95,3971.00,4087.10,2982052.00
2024-02-23 00:00:00,4130.00,4130.00,4046.40,4052.10,2538072.00
2024-02-26 00:00:00,4036.00,4050.00,3982.75,4001.05,1379284.00
2024-02-27 00:00:00,3999.00,4124.00,3999.00,4104.40,2960475.00
2024-02-28 00:00:00,4095.60,4154.90,4089.00,4118.95,1939225.00
2024-02-29 00:00:00,4099.00,4138.10,4064.55,4095.10,3772719.00
2024-03-01 00:00:00,4107.20,4140.00,4086.80,4094.35,2043265.00
2024-03-02 00:00:00,4112.70,4129.50,4090.15,4107.10,65057.00
2024-03-04 00:00:00,4105.00,4117.90,4075.90,4080.70,1749271.00
2024-03-05 00:00:00,4062.00,4064.00,3980.00,4012.10,2070859.00
2024-03-06 00:00:00,3994.05,4072.00,3958.45,4064.30,1744204.00
2024-03-07 00:00:00,4065.00,4124.00,4037.70,4108.60,2688905.00
2024-03-11 00:00:00,4089.00,4153.00,4089.00,4122.35,2304068.00
2024-03-12 00:00:00,4122.35,4229.95,4121.05,4192.25,4039801.00
2024-03-13 00:00:00,4205.00,4241.00,4131.90,4149.00,2837260.00
2024-03-14 00:00:00,4153.45,4225.00,4086.00,4207.60,2919608.00
2024-03-15 00:00:00,4192.60,4239.00,4177.00,4219.25,3373143.00
2024-03-18 00:00:00,4215.25,4254.75,4117.85,4152.50,1526904.00
2024-03-19 00:00:00,4051.25,4058.00,3966.60,3977.30,8931209.00
2024-03-20 00:00:00,3986.00,4018.00,3960.20,3970.90,1817913.00
2024-03-21 00:00:00,3990.05,4008.40,3948.00,3972.95,3829582.00
2024-03-22 00:00:00,3897.00,3938.00,3855.00,3910.90,5852485.00
2024-03-26 00:00:00,3875.00,3946.70,3871.45,3877.50,3440925.00
2024-03-27 00:00:00,3888.50,3895.00,3829.40,3840.90,1968575.00
2024-03-28 00:00:00,3850.10,3915.00,3840.50,3876.30,4311783.00
2024-04-01 00:00:00,3897.70,3933.30,3888.05,3916.75,1569676.00
2024-04-02 00:00:00,3890.00,3909.85,3873.00,3883.80,2142666.00
2024-04-03 00:00:00,3851.00,3981.00,3851.00,3947.30,3973090.00
2024-04-04 00:00:00,3975.90,4028.65,3935.25,4003.30,3394637.00
2024-04-05 00:00:00,3978.00,4002.00,3960.50,3979.25,1636819.00
2024-04-08 00:00:00,3983.00,4032.65,3960.00,3972.55,2302538.00
2024-04-09 00:00:00,3984.00,4015.85,3925.05,3946.55,1876992.00
2024-04-10 00:00:00,3956.40,3990.20,3918.00,3984.65,2101965.00
2024-04-12 00:00:00,3971.00,4013.35,3945.50,4001.40,4354821.00
2024-04-15 00:00:00,4001.40,4064.20,3919.05,3941.20,4200329.00
2024-04-16 00:00:00,3902.00,3928.70,3862.85,3872.80,3051420.00
2024-04-18 00:00:00,3876.80,3936.00,3850.00,3862.00,3476284.00
2024-04-19 00:00:00,3838.00,3852.55,3800.90,3826.20,2957749.00
2024-04-22 00:00:00,3837.00,3878.00,3812.00,3864.60,1728883.00
2024-04-23 00:00:00,3877.05,3895.00,3860.60,3874.70,1807586.00
2024-04-24 00:00:00,3890.00,3898.00,3824.45,3831.05,1317312.00
2024-04-25 00:00:00,3811.20,3873.65,3811.00,3852.20,2856271.00
2024-04-26 00:00:00,3855.15,3876.80,3802.55,3821.35,2039178.00
2024-04-29 00:00:00,3838.00,3877.80,3819.20,3870.20,1110693.00
2024-04-30 00:00:00,3872.00,3881.75,3810.00,3820.65,2203078.00
2024-05-02 00:00:00,3778.05,3871.10,3778.05,3863.30,2491044.00
2024-05-03 00:00:00,3890.15,3893.60,3797.60,3843.40,2962234.00
2024-05-06 00:00:00,3853.00,3939.95,3853.00,3921.05,2053831.00
2024-05-07 00:00:00,3930.80,3988.00,3913.50,3978.95,2062112.00
2024-05-08 00:00:00,3961.00,3984.30,3938.60,3976.95,1247685.00
2024-05-09 00:00:00,3962.00,3971.00,3910.05,3960.20,1726486.00
2024-05-10 00:00:00,3962.60,3973.60,3885.05,3893.90,1672489.00
2024-05-13 00:00:00,3884.50,3955.00,3870.00,3947.80,931326.00
2024-05-14 00:00:00,3936.00,3945.80,3892.90,3901.20,1058317.00
2024-05-15 00:00:00,3904.50,3926.95,3875.50,3880.40,1115021.00
2024-05-16 00:00:00,3891.10,3909.50,3843.50,3900.95,2599399.00
2024-05-17 00:00:00,3919.00,3920.00,3830.00,3834.10,2765804.00
2024-05-18 00:00:00,3847.00,3861.90,3840.00,3851.45,91011.00
2024-05-21 00:00:00,3830.60,3844.75,3810.05,3820.20,1908117.00
2024-05-22 00:00:00,3835.00,3841.25,3817.55,3832.00,1311168.00
2024-05-23 00:00:00,3840.95,3905.00,3825.50,3893.45,2095742.00
2024-05-24 00:00:00,3878.25,3883.80,3844.30,3849.50,1309452.00
2024-05-27 00:00:00,3855.00,3908.35,3841.35,3847.05,1841538.00
2024-05-28 00:00:00,3858.00,3870.00,3830.00,3839.90,1801993.00
2024-05-29 00:00:00,3848.90,3848.90,3800.00,3803.65,1568095.00
2024-05-30 00:00:00,3777.00,3794.40,3715.45,3736.10,2919230.00
2024-05-31 00:00:00,3740.00,3749.80,3653.75,3670.95,10956800.00
2024-06-03 00:00:00,3732.80,3751.55,3696.00,3702.85,2156773.00
2024-06-04 00:00:00,3700.00,3745.00,3591.50,3715.00,3395997.00
2024-06-05 00:00:00,3716.00,3783.80,3700.00,3746.45,2799670.00
2024-06-06 00:00:00,3781.00,3839.90,3741.50,3830.40,4328036.00
2024-06-07 00:00:00,3837.30,3915.00,3837.30,3893.95,4552445.00
2024-06-10 00:00:00,3895.00,3905.90,3841.90,3858.70,1734661.00
2024-06-11 00:00:00,3845.00,3879.95,3841.00,3852.10,1419898.00
2024-06-12 00:00:00,3874.40,3893.50,3827.45,3831.65,2177001.00
2024-06-13 00:00:00,3856.80,3890.00,3852.00,3878.15,1932323.00
2024-06-14 00:00:00,3889.00,3889.00,3828.00,3832.05,1860730.00
2024-06-18 00:00:00,3826.05,3842.00,3795.05,3815.10,1774045.00
2024-06-19 00:00:00,3827.65,3833.85,3792.95,3801.70,1509050.00
2024-06-20 00:00:00,3796.00,3809.95,3780.05,3787.25,2846526.00
2024-06-21 00:00:00,3827.00,3877.80,3798.05,3810.75,4642195.00
2024-06-24 00:00:00,3808.75,3857.00,3791.30,3816.80,1702154.00
2024-06-25 00:00:00,3817.00,3847.65,3792.90,3838.45,1338808.00
2024-06-26 00:00:00,3844.50,3866.95,3841.00,3855.85,1639845.00
2024-06-27 00:00:00,3831.00,3942.00,3818.10,3934.15,4526556.00
2024-06-28 00:00:00,3917.80,3960.00,3897.85,3904.15,2731571.00
2024-07-01 00:00:00,3884.00,4001.70,3884.00,3978.20,2658723.00
2024-07-02 00:00:00,3993.60,4023.40,3982.55,4017.40,2307449.00
2024-07-03 00:00:00,4020.00,4026.10,3955.00,3965.25,1821198.00
2024-07-04 00:00:00,3999.85,4047.35,3982.10,4020.95,2518001.00
2024-07-05 00:00:00,4010.00,4026.75,3988.00,4011.80,1668616.00
2024-07-08 00:00:00,4022.00,4031.25,3978.05,3993.20,1758882.00
2024-07-09 00:00:00,3985.00,4006.95,3975.10,3985.50,1305801.00
2024-07-10 00:00:00,3983.70,4003.30,3902.00,3909.15,2669716.00
2024-07-11 00:00:00,3931.00,3980.00,3895.60,3923.70,4872189.00
2024-07-12 00:00:00,3980.00,4199.95,3971.30,4183.95,13509164.00
2024-07-15 00:00:00,4235.70,4240.00,4157.05,4169.20,4848030.00
2024-07-16 00:00:00,4172.00,4194.55,4144.90,4178.45,2029521.00
2024-07-18 00:00:00,4160.00,4325.00,4160.00,4315.55,5613364.00
2024-07-19 00:00:00,4317.40,4358.75,4285.25,4302.40,3903354.00
2024-07-22 00:00:00,4299.95,4319.95,4265.00,4287.35,1896386.00
2024-07-23 00:00:00,4283.00,4361.70,4266.30,4302.35,2365208.00
2024-07-24 00:00:00,4287.50,4339.10,4268.10,4306.25,1809793.00
2024-07-25 00:00:00,4295.00,4343.00,4274.20,4322.50,2810342.00
2024-07-26 00:00:00,4350.00,4422.45,4337.05,4387.85,3552210.00
2024-07-29 00:00:00,4415.00,4431.00,4371.00,4381.10,1746803.00
2024-07-30 00:00:00,4391.10,4398.00,4327.30,4365.35,1797906.00
2024-07-31 00:00:00,4350.00,4414.00,4345.00,4385.35,2330091.00
2024-08-01 00:00:00,4399.40,4419.30,4365.05,4397.10,2202244.00
