date,open,high,low,close,volume
2024-01-02 00:00:00,1546.00,1549.15,1523.00,1534.40,5396313.00
2024-01-03 00:00:00,1519.95,1519.95,1488.00,1490.00,7550363.00
2024-01-04 00:00:00,1504.95,1519.75,1492.90,1512.70,7056038.00
2024-01-05 00:00:00,1506.75,1539.70,1506.25,1532.55,8895403.00
2024-01-08 00:00:00,1528.95,1536.00,1513.25,1522.80,4440136.00
2024-01-09 00:00:00,1541.90,1553.00,1525.85,1529.30,4412074.00
2024-01-10 00:00:00,1524.95,1535.45,1505.00,1519.90,4096845.00
2024-01-11 00:00:00,1524.90,1525.00,1486.60,1494.20,11296088.00
2024-01-12 00:00:00,1562.00,1618.00,1555.40,1612.75,26754401.00
2024-01-15 00:00:00,1644.95,1664.95,1636.00,1652.10,13228305.00
2024-01-16 00:00:00,1644.80,1648.50,1625.00,1631.55,6500917.00
2024-01-17 00:00:00,1620.25,1647.50,1620.25,1640.20,9209876.00
2024-01-18 00:00:00,1642.65,1649.00,1628.25,1642.60,6375464.00
2024-01-19 00:00:00,1651.60,1665.50,1644.15,1659.20,4522736.00
2024-01-20 00:00:00,1665.55,1669.25,1645.00,1648.85,1158144.00
2024-01-23 00:00:00,1650.10,1674.70,1637.70,1642.15,9401255.00
2024-01-24 00:00:00,1659.90,1680.00,1645.00,1675.40,8999681.00
2024-01-25 00:00:00,1672.95,1680.55,1658.00,1669.10,8865304.00
2024-01-29 00:00:00,1665.15,1679.35,1647.60,1656.60,4253785.00
2024-01-30 00:00:00,1662.45,1690.00,1648.25,1651.45,4995943.00
2024-01-31 00:00:00,1648.25,1667.25,1638.10,1660.90,6763779.00
2024-02-01 00:00:00,1659.55,1677.00,1650.35,1657.05,5760011.00
2024-02-02 00:00:00,1666.05,1718.50,1665.00,1693.35,7858483.00
2024-02-05 00:00:00,1694.75,1700.75,1681.85,1687.20,3634135.00
2024-02-06 00:00:00,1686.75,1733.00,1673.95,1729.45,7694265.00
2024-02-07 00:00:00,1729.00,1729.00,1686.85,1693.75,4613877.00
2024-02-08 00:00:00,1698.00,1706.35,1682.80,1692.10,5919715.00
2024-02-09 00:00:00,1684.70,1692.90,1659.80,1669.35,4600004.00
2024-02-12 00:00:00,1670.35,1692.95,1670.35,1680.10,3555808.00
2024-02-13 00:00:00,1683.00,1689.10,1663.50,1684.55,2696481.00
2024-02-14 00:00:00,1660.20,1669.45,1635.50,1666.20,3768579.00
2024-02-15 00:00:00,1677.00,1687.75,1661.60,1676.35,4834391.00
2024-02-16 00:00:00,1689.00,1709.00,1687.95,1701.65,4880654.00
2024-02-19 00:00:00,1705.00,1711.50,1687.70,1699.75,3690993.00
2024-02-20 00:00:00,1685.00,1694.25,1668.75,1685.25,3706389.00
2024-02-21 00:00:00,1674.00,1674.00,1645.30,1655.55,4300508.00
2024-02-22 00:00:00,1665.00,1684.60,1644.40,1681.35,5841277.00
2024-02-23 00:00:00,1697.00,1698.45,1671.90,1676.85,5373072.00
2024-02-26 00:00:00,1674.95,1674.95,1645.00,1660.15,2782438.00
2024-02-27 00:00:00,1661.00,1671.10,1652.80,1663.60,5159088.00
2024-02-28 00:00:00,1670.00,1687.80,1662.05,1671.25,3188916.00
2024-02-29 00:00:00,1665.00,1682.25,1653.30,1673.90,7814722.00
2024-03-01 00:00:00,1669.00,1671.95,1651.00,1654.70,6387291.00
2024-03-02 00:00:00,1658.85,1665.00,1654.05,1656.30,292153.00
2024-03-04 00:00:00,1657.85,1664.45,1633.65,1637.20,4445156.00
2024-03-05 00:00:00,1634.00,1637.35,1602.00,1606.50,4596579.00
2024-03-06 00:00:00,1602.80,1620.15,1576.00,1617.55,6420684.00
2024-03-07 00:00:00,1616.60,1628.45,1604.20,1616.45,6348359.00
2024-03-11 00:00:00,1608.15,1613.80,1588.00,1600.60,6752895.00
2024-03-12 00:00:00,1600.00,1625.00,1597.65,1612.95,4614222.00
2024-03-13 00:00:00,1612.90,1624.50,1598.55,1611.40,5688997.00
